x,y,color
24,81,black
27,92,yellow
41,83,yellow
66,27,black
89,85,yellow
84,47,yellow
33,32,black
80,79,yellow
80,33,black
50,82,yellow
74,31,black
67,82,black
6,58,yellow
19,77,yellow
5,30,yellow
70,3,yellow
9,91,yellow
5,48,yellow
30,60,yellow
64,30,black
32,73,black
46,95,yellow
73,57,yellow
83,15,yellow
28,25,black
48,62,yellow
87,77,yellow
84,63,yellow
14,22,yellow
41,0,yellow
9,7,yellow
79,57,yellow
81,24,yellow
55,9,black
58,21,black
25,21,black
97,7,yellow
5,33,yellow
76,24,black
61,65,yellow
78,62,yellow
56,34,black
90,92,yellow
1,84,yellow
7,43,yellow
94,88,yellow
38,92,yellow
26,65,yellow
77,66,yellow
87,39,yellow
86,10,yellow
24,38,black
23,78,black
49,55,yellow
25,43,yellow
92,32,yellow
84,1,yellow
77,98,yellow
96,60,yellow
23,7,yellow
0,90,yellow
18,82,yellow
38,74,black
90,26,yellow
45,32,black
79,35,black
39,22,black
99,65,yellow
19,57,yellow
72,3,yellow
80,35,black
96,86,yellow
98,74,yellow
25,76,black
14,82,yellow
26,50,yellow
14,28,yellow
38,89,yellow
76,99,yellow
63,4,yellow
20,16,yellow
11,12,yellow
59,1,yellow
95,81,yellow
0,92,yellow
17,29,yellow
86,6,yellow
63,53,yellow
95,99,yellow
35,89,yellow
60,66,yellow
7,35,yellow
21,73,yellow
94,96,yellow
14,80,yellow
34,8,yellow
58,37,black
90,48,yellow
77,67,yellow
26,36,black
91,80,yellow
25,90,yellow
15,33,yellow
0,94,yellow
16,62,yellow
14,35,yellow
23,66,yellow
54,35,black
12,15,yellow
60,65,yellow
76,43,yellow
56,92,yellow
12,62,yellow
85,48,yellow
66,43,yellow
97,1,yellow
92,39,yellow
81,6,yellow
66,18,black
9,86,yellow
75,99,yellow
62,14,black
70,60,yellow
35,47,yellow
64,62,yellow
75,66,yellow
48,85,yellow
10,93,yellow
22,47,yellow
55,5,yellow
45,75,yellow
37,80,black
19,21,yellow
54,42,yellow
38,35,black
47,3,yellow
44,75,yellow
80,18,yellow
79,93,yellow
78,36,black
36,42,yellow
72,21,black
46,43,yellow
5,29,yellow
89,8,yellow
60,23,black
23,0,yellow
42,8,yellow
92,85,yellow
60,67,yellow
21,68,yellow
60,96,yellow
21,95,yellow
78,80,black
29,64,yellow
35,88,black
70,8,yellow
44,17,black
24,58,yellow
14,25,yellow
99,53,yellow
42,82,yellow
39,74,yellow
48,30,black
58,67,yellow
97,88,yellow
25,80,black
61,45,yellow
20,37,black
44,37,black
72,6,yellow
53,25,black
35,65,yellow
48,75,yellow
48,65,yellow
48,79,yellow
28,13,yellow
39,85,yellow
63,86,black
22,31,black
3,84,yellow
74,44,yellow
64,86,black
29,86,black
36,78,black
0,19,yellow
53,3,yellow
83,76,yellow
24,52,yellow
61,4,yellow
87,55,yellow
10,24,yellow
24,33,black
51,30,black
84,78,yellow
65,95,yellow
2,23,yellow
13,23,yellow
80,93,yellow
95,73,yellow
49,90,yellow
40,18,black
31,82,black
9,71,yellow
63,75,black
42,5,yellow
29,48,yellow
43,64,yellow
93,14,yellow
60,69,yellow
73,85,black
70,86,black
34,18,black
87,54,yellow
8,11,yellow
81,26,yellow
56,66,yellow
16,60,yellow
48,68,yellow
20,13,yellow
95,66,yellow
55,67,yellow
64,11,yellow
89,2,yellow
62,71,yellow
63,59,yellow
78,56,yellow
50,54,yellow
6,70,yellow
93,98,yellow
41,79,yellow
40,40,yellow
38,40,yellow
93,75,yellow
34,6,yellow
47,70,yellow
49,30,black
65,26,black
39,69,yellow
36,28,black
9,77,yellow
17,24,yellow
58,8,yellow
75,59,yellow
85,49,yellow
11,37,yellow
33,29,black
38,88,yellow
18,1,yellow
61,80,black
70,87,black
34,29,black
38,72,yellow
65,9,yellow
63,81,black
55,16,black
50,73,yellow
25,15,yellow
13,24,yellow
31,55,yellow
57,15,black
65,79,black
47,39,black
80,89,yellow
29,43,yellow
30,55,yellow
16,6,yellow
41,29,black
65,44,yellow
81,54,yellow
94,36,yellow
10,83,yellow
65,73,black
63,70,yellow
26,14,yellow
68,33,black
99,78,yellow
86,17,yellow
15,20,yellow
33,72,black
49,13,black
44,55,yellow
28,79,black
25,42,yellow
79,7,yellow
15,86,yellow
59,35,black
20,65,yellow
2,4,yellow
24,85,black
84,13,yellow
20,8,yellow
94,12,yellow
93,91,yellow
50,86,yellow
10,95,yellow
91,8,yellow
27,11,yellow
34,1,yellow
55,45,yellow
83,90,yellow
16,26,yellow
72,72,black
64,69,yellow
33,55,yellow
32,21,black
97,76,yellow
41,86,yellow
98,80,yellow
18,13,yellow
57,49,yellow
32,99,yellow
6,80,yellow
91,67,yellow
66,38,black
22,48,yellow
74,71,black
32,30,black
92,43,yellow
42,54,yellow
6,28,yellow
63,91,yellow
92,47,yellow
82,65,yellow
51,88,yellow
37,98,yellow
60,2,yellow
88,67,yellow
55,12,black
90,70,yellow
7,74,yellow
54,60,yellow
27,68,yellow
23,33,black
69,13,yellow
90,84,yellow
69,70,yellow
19,16,yellow
23,75,black
46,39,black
86,85,yellow
64,31,black
70,59,yellow
7,24,yellow
3,83,yellow
30,5,yellow
82,35,yellow
78,66,yellow
31,48,yellow
31,19,black
75,28,black
36,14,black
14,0,yellow
24,64,yellow
91,93,yellow
96,33,yellow
15,99,yellow
71,80,black
53,5,yellow
97,41,yellow
56,33,black
55,94,yellow
10,9,yellow
10,18,yellow
8,74,yellow
87,78,yellow
52,17,black
17,37,yellow
91,40,yellow
47,72,yellow
23,74,black
98,83,yellow
42,4,yellow
33,79,black
26,45,yellow
21,39,black
21,80,black
27,44,yellow
50,46,yellow
72,96,yellow
22,45,yellow
33,26,black
93,4,yellow
49,89,yellow
17,56,yellow
37,44,yellow
25,99,yellow
44,60,yellow
33,78,black
18,11,yellow
43,71,yellow
18,44,yellow
87,19,yellow
8,93,yellow
99,86,yellow
85,87,yellow
77,44,yellow
29,11,yellow
56,82,yellow
47,17,black
57,80,yellow
60,56,yellow
0,60,yellow
77,60,yellow
7,36,yellow
95,55,yellow
66,15,black
21,86,yellow
10,86,yellow
35,64,yellow
53,30,black
31,93,yellow
65,85,black
98,86,yellow
71,50,yellow
69,61,yellow
30,99,yellow
41,24,black
17,81,yellow
91,42,yellow
29,25,black
80,98,yellow
75,89,yellow
59,11,black
81,3,yellow
16,10,yellow
36,53,yellow
73,75,black
56,8,yellow
38,98,yellow
34,67,yellow
16,19,yellow
30,67,yellow
2,88,yellow
70,81,black
11,28,yellow
97,90,yellow
2,55,yellow
50,29,black
15,19,yellow
9,76,yellow
36,1,yellow
82,61,yellow
45,84,yellow
6,30,yellow
67,58,yellow
11,53,yellow
57,67,yellow
42,48,yellow
53,34,black
19,90,yellow
99,89,yellow
23,27,black
95,22,yellow
30,46,yellow
30,89,black
11,26,yellow
85,4,yellow
37,53,yellow
85,20,yellow
5,70,yellow
43,97,yellow
98,66,yellow
98,87,yellow
31,16,black
60,16,black
61,30,black
60,95,yellow
56,41,yellow
68,52,yellow
60,99,yellow
5,47,yellow
59,20,black
73,77,black
99,10,yellow
81,57,yellow
13,96,yellow
67,35,black
20,11,yellow
13,99,yellow
56,68,yellow
53,23,black
24,21,yellow
77,46,yellow
4,66,yellow
16,52,yellow
3,27,yellow
22,78,black
14,5,yellow
56,36,black
51,66,yellow
16,80,yellow
28,59,yellow
13,62,yellow
96,78,yellow
58,99,yellow
82,9,yellow
52,91,yellow
33,98,yellow
37,66,yellow
71,10,yellow
37,48,yellow
50,65,yellow
47,52,yellow
41,16,black
67,20,black
63,31,black
35,68,yellow
54,68,yellow
68,90,yellow
39,19,black
98,21,yellow
87,6,yellow
14,89,yellow
60,63,yellow
56,24,black
13,41,yellow
58,82,yellow
87,56,yellow
21,67,yellow
61,24,black
41,28,black
19,31,yellow
31,81,black
83,77,yellow
13,88,yellow
3,46,yellow
25,61,yellow
32,57,yellow
0,27,yellow
34,20,black
10,42,yellow
52,94,yellow
51,47,yellow
73,38,black
95,78,yellow
98,76,yellow
29,16,yellow
23,69,yellow
38,32,black
75,35,black
33,3,yellow
17,26,yellow
46,91,yellow
25,28,black
45,49,yellow
74,41,yellow
54,61,yellow
1,26,yellow
37,32,black
93,86,yellow
16,13,yellow
31,22,black
81,31,yellow
70,71,black
87,7,yellow
19,42,yellow
28,34,black
48,40,yellow
70,34,black
8,0,yellow
42,84,yellow
8,20,yellow
55,24,black
6,2,yellow
44,43,yellow
69,50,yellow
21,4,yellow
64,72,black
42,90,yellow
75,43,yellow
12,59,yellow
10,51,yellow
16,36,yellow
77,90,yellow
6,84,yellow
33,1,yellow
16,18,yellow
44,6,yellow
48,78,yellow
5,35,yellow
99,9,yellow
16,56,yellow
48,21,black
71,28,black
54,74,yellow
31,69,yellow
59,90,yellow
55,82,yellow
74,19,yellow
16,44,yellow
70,27,black
5,41,yellow
46,3,yellow
80,27,yellow
27,58,yellow
83,65,yellow
93,7,yellow
85,6,yellow
70,62,yellow
97,16,yellow
8,89,yellow
18,66,yellow
49,98,yellow
46,89,yellow
54,47,yellow
25,2,yellow
69,43,yellow
91,30,yellow
47,18,black
73,56,yellow
5,85,yellow
71,52,yellow
87,10,yellow
5,91,yellow
86,79,yellow
44,73,yellow
79,60,yellow
89,72,yellow
83,54,yellow
8,14,yellow
47,63,yellow
78,45,yellow
54,10,black
84,8,yellow
27,4,yellow
22,50,yellow
20,44,yellow
18,84,yellow
72,43,yellow
76,25,black
1,60,yellow
58,68,yellow
98,16,yellow
64,54,yellow
87,58,yellow
95,45,yellow
62,5,yellow
6,22,yellow
26,10,yellow
59,62,yellow
1,76,yellow
4,58,yellow
99,70,yellow
6,6,yellow
40,84,yellow
37,97,yellow
28,3,yellow
12,2,yellow
94,50,yellow
68,22,black
44,45,yellow
15,74,yellow
54,11,black
16,38,yellow
43,17,black
82,52,yellow
79,39,black
96,80,yellow
3,78,yellow
11,93,yellow
78,0,yellow
30,57,yellow
10,77,yellow
69,81,black
75,88,black
39,93,yellow
17,71,yellow
71,35,black
81,14,yellow
90,93,yellow
24,82,black
45,76,yellow
77,41,yellow
58,15,black
13,85,yellow
28,81,black
3,48,yellow
74,0,yellow
81,2,yellow
3,13,yellow
26,99,yellow
48,20,black
69,41,yellow
45,10,black
14,15,yellow
85,80,yellow
53,56,yellow
10,13,yellow
72,45,yellow
68,27,black
18,21,yellow
19,22,yellow
48,64,yellow
91,5,yellow
36,87,black
29,46,yellow
57,6,yellow
89,75,yellow
76,54,yellow
24,17,yellow
17,42,yellow
77,84,black
5,42,yellow
52,71,yellow
17,90,yellow
49,94,yellow
75,6,yellow
5,55,yellow
69,7,yellow
48,91,yellow
26,15,yellow
53,55,yellow
1,81,yellow
53,16,black
19,32,yellow
93,42,yellow
54,82,yellow
85,17,yellow
61,1,yellow
47,14,black
38,31,black
16,57,yellow
77,73,black
82,57,yellow
7,69,yellow
31,44,yellow
59,27,black
90,76,yellow
4,49,yellow
28,68,yellow
15,12,yellow
32,60,yellow
67,8,yellow
20,59,yellow
53,94,yellow
67,61,yellow
55,72,yellow
43,76,yellow
30,14,yellow
31,37,black
95,74,yellow
36,7,yellow
74,92,yellow
72,95,yellow
98,29,yellow
37,73,black
97,26,yellow
73,1,yellow
93,28,yellow
63,45,yellow
19,17,yellow
24,62,yellow
77,88,yellow
31,30,black
72,71,black
47,16,black
53,62,yellow
64,29,black
21,27,yellow
48,43,yellow
60,87,yellow
73,45,yellow
10,67,yellow
87,94,yellow
66,94,yellow
91,23,yellow
49,64,yellow
36,40,yellow
4,8,yellow
30,72,black
94,7,yellow
12,34,yellow
96,73,yellow
38,44,yellow
60,5,yellow
9,52,yellow
82,5,yellow
73,12,yellow
0,26,yellow
73,43,yellow
73,74,black
92,90,yellow
13,93,yellow
17,39,yellow
69,97,yellow
0,56,yellow
16,5,yellow
37,34,black
48,81,yellow
5,10,yellow
80,39,black
24,90,yellow
89,22,yellow
92,76,yellow
39,76,black
32,75,black
83,5,yellow
14,66,yellow
54,52,yellow
64,26,black
74,34,black
85,69,yellow
31,39,black
85,85,yellow
56,74,yellow
64,4,yellow
38,1,yellow
54,67,yellow
88,3,yellow
82,88,yellow
72,57,yellow
64,71,yellow
70,24,black
11,88,yellow
46,72,yellow
1,56,yellow
37,4,yellow
56,86,yellow
38,11,black
62,86,black
76,17,yellow
32,17,black
57,9,yellow
9,18,yellow
60,89,yellow
27,29,black
44,31,black
17,77,yellow
38,46,yellow
27,14,yellow
25,1,yellow
54,30,black
8,63,yellow
93,31,yellow
21,54,yellow
67,38,black
46,73,yellow
41,41,yellow
84,42,yellow
35,43,yellow
64,61,yellow
30,78,black
19,54,yellow
53,36,black
41,11,black
10,21,yellow
27,64,yellow
72,94,yellow
9,47,yellow
71,30,black
6,4,yellow
25,4,yellow
81,97,yellow
43,15,black
43,28,black
33,23,black
95,6,yellow
94,17,yellow
37,11,yellow
65,50,yellow
77,71,yellow
34,42,yellow
55,33,black
43,8,yellow
60,7,yellow
83,0,yellow
52,34,black
70,50,yellow
2,3,yellow
40,75,yellow
84,56,yellow
66,32,black
17,78,yellow
35,7,yellow
11,32,yellow
36,91,yellow
43,73,yellow
90,43,yellow
10,96,yellow
97,86,yellow
30,34,black
80,34,black
26,73,black
66,2,yellow
66,71,black
71,85,black
89,65,yellow
58,0,yellow
20,1,yellow
84,84,yellow
49,91,yellow
32,8,yellow
78,81,black
82,87,yellow
35,13,black
50,40,yellow
76,55,yellow
57,77,yellow
25,19,yellow
74,51,yellow
38,63,yellow
61,97,yellow
89,93,yellow
69,73,black
39,31,black
60,26,black
98,18,yellow
67,80,black
5,8,yellow
90,74,yellow
65,59,yellow
24,45,yellow
70,92,yellow
63,48,yellow
28,16,yellow
63,7,yellow
46,83,yellow
24,40,yellow
95,27,yellow
56,62,yellow
18,2,yellow
16,30,yellow
66,85,black
26,26,black
33,14,black
92,69,yellow
44,94,yellow
17,9,yellow
70,36,black
56,40,yellow
15,63,yellow
10,53,yellow
3,71,yellow
51,46,yellow
35,21,black
71,5,yellow
34,48,yellow
8,69,yellow
0,79,yellow
17,8,yellow
11,46,yellow
87,25,yellow
68,80,black
8,19,yellow
8,25,yellow
1,50,yellow
31,51,yellow
18,17,yellow
72,13,yellow
68,75,black
24,86,black
46,68,yellow
45,60,yellow
36,30,black
2,73,yellow
62,47,yellow
9,26,yellow
6,98,yellow
22,57,yellow
84,77,yellow
32,5,yellow
87,95,yellow
15,71,yellow
92,20,yellow
73,98,yellow
46,19,black
48,45,yellow
7,61,yellow
41,95,yellow
96,42,yellow
9,60,yellow
64,44,yellow
30,77,black
61,89,yellow
58,1,yellow
71,18,black
23,90,yellow
81,87,yellow
90,13,yellow
90,55,yellow
60,90,yellow
74,67,yellow
51,85,yellow
44,64,yellow
10,58,yellow
19,0,yellow
39,87,yellow
51,93,yellow
91,27,yellow
47,48,yellow
6,39,yellow
5,17,yellow
61,47,yellow
54,18,black
5,99,yellow
98,12,yellow
55,15,black
42,65,yellow
74,1,yellow
61,73,yellow
77,51,yellow
5,95,yellow
65,20,black
15,53,yellow
46,7,yellow
90,5,yellow
96,77,yellow
66,23,black
0,6,yellow
78,87,yellow
3,65,yellow
74,17,yellow
71,6,yellow
15,85,yellow
73,61,yellow
15,28,yellow
95,7,yellow
30,91,yellow
56,26,black
12,52,yellow
62,20,black
32,88,black
61,81,black
26,54,yellow
77,11,yellow
57,73,yellow
38,7,yellow
83,34,yellow
70,30,black
65,98,yellow
61,60,yellow
81,33,yellow
13,9,yellow
59,83,yellow
13,14,yellow
29,90,yellow
91,98,yellow
71,14,yellow
14,91,yellow
10,32,yellow
59,67,yellow
62,44,yellow
22,33,black
20,14,yellow
81,82,yellow
83,68,yellow
42,99,yellow
18,96,yellow
85,96,yellow
47,66,yellow
76,83,black
93,73,yellow
82,53,yellow
32,37,black
63,83,black
33,52,yellow
45,73,yellow
71,58,yellow
59,77,yellow
71,75,black
86,92,yellow
86,63,yellow
14,52,yellow
46,5,yellow
23,97,yellow
6,79,yellow
7,91,yellow
12,20,yellow
55,31,black
53,31,black
58,38,black
7,63,yellow
0,8,yellow
77,28,black
48,59,yellow
10,3,yellow
80,8,yellow
67,55,yellow
54,20,black
55,88,yellow
93,48,yellow
35,96,yellow
85,18,yellow
81,15,yellow
74,90,yellow
2,28,yellow
85,66,yellow
21,56,yellow
67,10,yellow
29,56,yellow
75,61,yellow
51,80,yellow
27,3,yellow
0,86,yellow
77,52,yellow
57,39,black
40,8,yellow
17,95,yellow
12,32,yellow
88,39,yellow
6,73,yellow
44,16,black
73,5,yellow
86,72,yellow
23,39,black
1,95,yellow
2,31,yellow
37,47,yellow
89,7,yellow
9,49,yellow
84,28,yellow
26,79,black
34,63,yellow
88,35,yellow
59,18,black
34,94,yellow
29,38,black
83,45,yellow
53,22,black
75,92,yellow
0,38,yellow
28,35,black
96,43,yellow
40,89,yellow
47,58,yellow
90,33,yellow
72,38,black
37,83,black
80,56,yellow
18,61,yellow
69,69,yellow
74,28,black
95,31,yellow
24,74,black
65,22,black
65,10,yellow
26,33,black
30,2,yellow
32,45,yellow
33,35,black
24,27,black
28,69,yellow
93,58,yellow
63,19,black
90,23,yellow
79,73,yellow
31,6,yellow
27,62,yellow
92,13,yellow
55,39,black
34,55,yellow
33,88,black
31,5,yellow
16,81,yellow
56,83,yellow
66,13,black
46,86,yellow
22,92,yellow
35,78,black
98,51,yellow
94,79,yellow
5,77,yellow
85,90,yellow
36,2,yellow
64,8,yellow
96,15,yellow
14,69,yellow
0,3,yellow
41,54,yellow
0,64,yellow
52,81,yellow
47,94,yellow
48,93,yellow
60,46,yellow
97,75,yellow
61,7,yellow
88,32,yellow
2,96,yellow
44,8,yellow
5,59,yellow
94,22,yellow
50,36,black
73,21,black
77,92,yellow
17,49,yellow
8,18,yellow
93,51,yellow
76,71,yellow
59,50,yellow
91,79,yellow
84,55,yellow
55,44,yellow
45,86,yellow
32,81,black
77,50,yellow
75,4,yellow
59,21,black
81,5,yellow
81,59,yellow
76,14,yellow
88,55,yellow
1,9,yellow
72,25,black
23,35,black
32,96,yellow
46,76,yellow
25,55,yellow
73,99,yellow
30,71,black
15,54,yellow
70,10,yellow
96,61,yellow
0,58,yellow
62,76,black
93,59,yellow
20,10,yellow
69,10,yellow
61,98,yellow
21,94,yellow
32,80,black
66,75,black
34,89,black
85,92,yellow
68,8,yellow
97,63,yellow
31,64,yellow
33,59,yellow
29,82,black
8,10,yellow
60,25,black
5,93,yellow
38,26,black
24,95,yellow
28,26,black
37,13,black
9,45,yellow
65,58,yellow
62,34,black
27,33,black
84,70,yellow
7,4,yellow
75,54,yellow
35,14,black
4,54,yellow
36,60,yellow
95,53,yellow
36,44,yellow
92,28,yellow
6,64,yellow
81,20,yellow
10,6,yellow
62,0,yellow
81,90,yellow
94,78,yellow
75,76,black
51,53,yellow
60,29,black
63,34,black
2,6,yellow
68,10,yellow
13,5,yellow
24,20,yellow
83,7,yellow
26,74,black
61,39,black
66,53,yellow
25,8,yellow
26,86,black
93,32,yellow
88,97,yellow
87,90,yellow
10,26,yellow
12,27,yellow
75,38,black
33,49,yellow
49,35,black
60,35,black
26,82,black
25,38,black
40,94,yellow
71,84,black
84,4,yellow
1,87,yellow
66,69,yellow
21,47,yellow
6,78,yellow
27,79,black
13,81,yellow
76,46,yellow
41,12,black
38,8,yellow
13,52,yellow
93,79,yellow
27,50,yellow
82,8,yellow
68,76,black
12,83,yellow
61,54,yellow
17,94,yellow
84,73,yellow
50,71,yellow
71,53,yellow
9,72,yellow
52,2,yellow
56,60,yellow
41,15,black
4,85,yellow
61,18,black
11,7,yellow
99,46,yellow
72,1,yellow
32,9,yellow
51,37,black
36,41,yellow
32,95,yellow
62,85,black
52,54,yellow
42,15,black
46,67,yellow
60,4,yellow
66,64,yellow
30,1,yellow
53,46,yellow
40,81,yellow
56,13,black
11,38,yellow
63,89,yellow
69,30,black
21,6,yellow
86,59,yellow
65,25,black
48,10,black
43,6,yellow
98,11,yellow
1,59,yellow
35,26,black
62,72,yellow
12,78,yellow
44,36,black
55,85,yellow
98,65,yellow
9,38,yellow
74,99,yellow
75,7,yellow
91,11,yellow
8,45,yellow
96,68,yellow
21,35,black
50,43,yellow
10,89,yellow
86,62,yellow
88,10,yellow
99,1,yellow
59,5,yellow
77,80,black
61,20,black
52,10,black
4,98,yellow
71,26,black
23,43,yellow
99,80,yellow
47,86,yellow
21,89,yellow
13,77,yellow
62,3,yellow
72,4,yellow
50,58,yellow
26,0,yellow
40,42,yellow
12,25,yellow
8,34,yellow
69,51,yellow
57,19,black
16,22,yellow
38,4,yellow
53,44,yellow
80,72,yellow
35,37,black
27,32,black
27,17,yellow
92,57,yellow
77,48,yellow
19,92,yellow
69,14,yellow
37,9,yellow
1,75,yellow
38,27,black
65,92,yellow
8,37,yellow
77,47,yellow
36,97,yellow
27,63,yellow
73,62,yellow
19,70,yellow
67,14,black
42,0,yellow
7,39,yellow
58,72,yellow
49,78,yellow
73,72,black
96,66,yellow
76,51,yellow
96,24,yellow
54,39,black
58,7,yellow
31,54,yellow
13,11,yellow
92,0,yellow
87,4,yellow
26,42,yellow
86,99,yellow
31,2,yellow
94,44,yellow
60,94,yellow
69,15,black
49,99,yellow
38,47,yellow
22,62,yellow
18,23,yellow
98,84,yellow
50,93,yellow
13,75,yellow
29,26,black
55,86,yellow
92,49,yellow
75,58,yellow
31,96,yellow
17,91,yellow
27,84,black
36,90,yellow
93,18,yellow
7,79,yellow
40,32,black
63,40,yellow
72,2,yellow
6,82,yellow
96,32,yellow
37,82,black
61,64,yellow
34,71,black
25,36,black
48,12,black
55,81,yellow
71,79,black
69,29,black
52,24,black
13,6,yellow
57,21,black
31,86,black
38,9,yellow
28,4,yellow
65,16,black
26,17,yellow
38,42,yellow
3,90,yellow
99,72,yellow
83,80,yellow
65,97,yellow
48,39,black
41,38,black
56,28,black
83,82,yellow
42,32,black
41,44,yellow
40,25,black
16,92,yellow
44,92,yellow
9,63,yellow
65,35,black
39,27,black
4,12,yellow
72,75,black
51,90,yellow
85,44,yellow
26,23,black
28,22,black
68,16,black
26,94,yellow
88,72,yellow
17,54,yellow
46,50,yellow
11,29,yellow
94,91,yellow
19,46,yellow
72,82,black
96,34,yellow
46,47,yellow
0,48,yellow
46,78,yellow
73,66,yellow
96,97,yellow
11,90,yellow
31,65,yellow
60,13,black
53,52,yellow
24,87,black
20,0,yellow
34,80,black
53,20,black
13,10,yellow
16,66,yellow
58,91,yellow
12,17,yellow
39,10,yellow
28,89,black
45,29,black
0,57,yellow
62,62,yellow
33,12,yellow
98,82,yellow
45,53,yellow
40,93,yellow
62,32,black
17,50,yellow
67,22,black
31,98,yellow
35,40,yellow
64,52,yellow
73,29,black
3,92,yellow
67,87,black
40,63,yellow
78,67,yellow
21,66,yellow
68,19,black
82,89,yellow
57,52,yellow
63,52,yellow
62,79,black
29,79,black
47,93,yellow
11,15,yellow
0,42,yellow
31,0,yellow
73,30,black
84,95,yellow
91,14,yellow
98,5,yellow
53,43,yellow
93,43,yellow
27,19,black
68,0,yellow
4,31,yellow
64,24,black
0,91,yellow
65,0,yellow
72,29,black
25,27,black
49,48,yellow
24,2,yellow
94,25,yellow
78,19,yellow
36,99,yellow
39,91,yellow
51,31,black
39,17,black
19,66,yellow
40,83,yellow
21,76,black
95,41,yellow
46,31,black
36,21,black
30,16,black
48,86,yellow
12,66,yellow
29,3,yellow
94,93,yellow
30,4,yellow
12,91,yellow
77,83,black
79,4,yellow
32,52,yellow
27,24,black
5,46,yellow
99,48,yellow
35,62,yellow
72,44,yellow
34,22,black
8,7,yellow
29,62,yellow
77,97,yellow
62,55,yellow
56,31,black
1,55,yellow
99,50,yellow
14,9,yellow
84,86,yellow
32,24,black
36,98,yellow
72,90,yellow
75,41,yellow
15,79,yellow
19,41,yellow
61,51,yellow
26,78,black
69,36,black
59,17,black
52,66,yellow
23,24,black
19,29,yellow
46,62,yellow
12,70,yellow
44,68,yellow
86,1,yellow
95,46,yellow
50,18,black
15,91,yellow
12,22,yellow
43,44,yellow
20,18,yellow
68,21,black
24,49,yellow
61,96,yellow
45,87,yellow
59,95,yellow
56,85,yellow
90,60,yellow
67,81,black
98,30,yellow
74,73,black
46,80,yellow
85,28,yellow
60,37,black
38,97,yellow
34,79,black
32,93,yellow
83,66,yellow
10,74,yellow
40,58,yellow
34,97,yellow
72,62,yellow
68,48,yellow
54,73,yellow
93,12,yellow
83,10,yellow
65,87,black
74,24,black
92,31,yellow
66,52,yellow
32,55,yellow
26,89,black
88,46,yellow
95,91,yellow
54,23,black
73,3,yellow
88,76,yellow
45,20,black
36,64,yellow
17,12,yellow
35,91,yellow
78,91,yellow
20,28,yellow
22,13,yellow
78,55,yellow
48,42,yellow
30,38,black
89,1,yellow
20,38,black
41,84,yellow
9,92,yellow
78,98,yellow
55,87,yellow
19,94,yellow
16,87,yellow
12,14,yellow
45,42,yellow
27,49,yellow
